canonical_smiles,pIC50,IC50_nM,activity_class,n_measurements,pIC50_std,pIC50_min,pIC50_max,molecule_chembl_id,molecule_chembl_ids,n_molecules
C#Cc1cc(Nc2ncnc3cc(OC)c(OC)cc23)ccc1F,8.397940008672037,4.000000000000001,1,1,,8.397940008672037,8.397940008672037,CHEMBL65250,CHEMBL65250,1
C#Cc1cc(Nc2ncnc3cc(OC)c(OCCCCCCC(=O)NO)cc23)ccc1F,7.540607512240769,28.799999999999983,1,2,0.0,7.540607512240769,7.540607512240769,CHEMBL598798,CHEMBL598798,1
C#Cc1cc(Nc2ncnc3cc(OCCOC)c(OCCOC)cc23)cc(OC(=O)C=C)c1,5.877784121727173,1325.0,0,1,,5.877784121727173,5.877784121727173,CHEMBL5632582,CHEMBL5632582,1
C#Cc1cc(Nc2ncnc3cc(OCCOC)c(OCCOC)cc23)ccc1C=O,7.31695296176115,48.2,1,1,,7.31695296176115,7.31695296176115,CHEMBL6149601,CHEMBL6149601,1
C#Cc1cc2c(Nc3ccc(OCc4cccc(F)c4)c(Cl)c3)ncnc2s1,7.1487416512809245,71.00000000000003,1,1,,7.1487416512809245,7.1487416512809245,CHEMBL3416634,CHEMBL3416634,1
C#Cc1ccc2ncnc(Nc3ccc(F)c(Cl)c3)c2c1,6.896538377905295,126.90000000000003,0,1,,6.896538377905295,6.896538377905295,CHEMBL249509,CHEMBL249509,1
C#Cc1cccc(-n2ccc3cc(OC)cc(O)c3c2=O)c1,5.514278573518419,3060.000000000004,0,1,,5.514278573518419,5.514278573518419,CHEMBL2442327,CHEMBL2442327,1
C#Cc1cccc(-n2ccc3cc(OC)cc(OC)c3c2=O)c1,5.454692883534176,3509.999999999998,0,1,,5.454692883534176,5.454692883534176,CHEMBL2442319,CHEMBL2442319,1
C#Cc1cccc(N2C(=O)Nc3c(C(=O)Nc4ccc(CN5CCCC5)cc4)sc4ncnc2c34)c1,7.585026652029182,26.000000000000014,1,1,,7.585026652029182,7.585026652029182,CHEMBL3416629,CHEMBL3416629,1
C#Cc1cccc(NC(=O)c2cc(NC(=O)CCCCCC(=O)NO)c(OC)cc2O)c1,5.950781977329818,1120.000000000001,0,1,,5.950781977329818,5.950781977329818,CHEMBL2047026,CHEMBL2047026,1
C#Cc1cccc(NC(=O)c2cc(NC(=O)CCCCCC(=O)NO)ccc2O)c1,5.480172006224281,3310.000000000001,0,1,,5.480172006224281,5.480172006224281,CHEMBL2047020,CHEMBL2047020,1
C#Cc1cccc(NC(=O)c2cc(NC(=O)CCCCCC(=O)NO)ccc2OC)c1,5.287350298372789,5159.999999999999,0,1,,5.287350298372789,5.287350298372789,CHEMBL2047028,CHEMBL2047028,1
C#Cc1cccc(NC(=O)c2cc(NC(=O)CCCCCCC(=O)NO)ccc2O)c1,5.647817481888637,2250.000000000001,0,1,,5.647817481888637,5.647817481888637,CHEMBL2047024,CHEMBL2047024,1
C#Cc1cccc(NC(=O)c2cc(OCCCCCCC(=O)NO)ccc2O)c1,6.045757490560675,900.0000000000007,0,1,,6.045757490560675,6.045757490560675,CHEMBL2047029,CHEMBL2047029,1
C#Cc1cccc(NC(=O)c2cccc(NC(=O)CCCCCC(=O)NO)c2)c1,5.209714835966759,6169.999999999992,0,1,,5.209714835966759,5.209714835966759,CHEMBL2047027,CHEMBL2047027,1
C#Cc1cccc(Nc2c(C#N)cnc3cc(OC)c(OC)cc23)c1,7.214670164989233,61.000000000000014,1,1,,7.214670164989233,7.214670164989233,CHEMBL4440586,CHEMBL4440586,1
C#Cc1cccc(Nc2c(C#N)cnc3cc(OCCOC)c(OCCOC)cc23)c1,6.070581074285707,850.0000000000002,0,1,,6.070581074285707,6.070581074285707,CHEMBL95320,CHEMBL95320,1
C#Cc1cccc(Nc2cccc3cc(OC)c(OCCCCCCC(=O)NO)cc23)c1,8.619788758288394,2.4000000000000017,1,1,,8.619788758288394,8.619788758288394,CHEMBL4637274,CHEMBL4637274,1
C#Cc1cccc(Nc2ccnc3cc(OC)c(OC)cc23)c1,7.548998554324635,28.248893783651077,1,4,1.0899642364778332,5.823908740944319,8.397940008672037,CHEMBL1092250,CHEMBL1092250,1
C#Cc1cccc(Nc2ccnc3cc(OCCOC)c(OCCOC)cc23)c1,6.995699914119041,100.99504938362082,0,4,0.9382252079955862,5.823908740944319,7.853871964321762,CHEMBL1089203,CHEMBL1089203,1
