molecule_chembl_id,split_seed,rf_seed,predicted_pIC50,rank,n_ranked_in_run,in_train_for_split
CHEMBL522082,21,42,5.339919320853872,43,60,False
CHEMBL490773,21,42,5.229105543709765,50,60,False
CHEMBL521184,21,42,5.584144550164541,28,60,False
CHEMBL150,21,42,5.29632069155022,46,60,False
CHEMBL484119,21,42,5.656456325848898,17,60,False
CHEMBL484316,21,42,5.656456325848898,18,60,False
CHEMBL490980,21,42,5.189118503296817,52,60,False
CHEMBL443171,21,42,5.171082147192073,54,60,False
CHEMBL519982,21,42,5.38150244387788,41,60,False
CHEMBL28,21,42,5.188329220909863,53,60,False
CHEMBL2315699,21,42,5.737514352003734,8,60,False
CHEMBL2315697,21,42,5.737514352003734,9,60,False
CHEMBL275638,21,42,5.348648428855922,42,60,False
CHEMBL483830,21,42,5.318123455842336,44,60,False
CHEMBL2315410,21,42,5.682958147525787,14,60,False
CHEMBL485258,21,42,5.31796293985276,45,60,False
CHEMBL519395,21,42,5.745129211081399,7,60,False
CHEMBL483831,21,42,5.266666681835892,47,60,False
CHEMBL453504,21,42,5.388179682890574,40,60,False
CHEMBL485485,21,42,5.443055998484294,37,60,False
CHEMBL463054,21,42,5.15079855744044,56,60,False
CHEMBL2315701,21,42,5.651163598696391,19,60,False
CHEMBL441343,21,42,5.043912395768696,57,60,False
CHEMBL2315698,21,42,5.58899613459905,26,60,False
CHEMBL2315696,21,42,5.58899613459905,27,60,False
CHEMBL2315409,21,42,5.530528957843781,32,60,False
CHEMBL489146,21,42,5.225301141738892,51,60,False
CHEMBL17329,21,42,5.264152145373701,48,60,False
CHEMBL556684,21,42,5.164470394849777,55,60,False
CHEMBL483531,21,42,4.940200641249165,58,60,False
CHEMBL483532,21,42,4.695312387784322,59,60,False
CHEMBL450484,21,42,4.168108316792383,60,60,False
CHEMBL2316916,21,7,6.6449536983172095,1,60,False
CHEMBL5614250,21,7,5.7775484455956345,5,60,False
CHEMBL5564149,21,7,6.046781320571899,3,60,False
CHEMBL13983,21,7,5.545180239677429,27,60,False
CHEMBL554993,21,7,5.970241703324848,4,60,False
CHEMBL512054,21,7,6.115209712433437,2,60,False
CHEMBL131921,21,7,5.620788609669953,18,60,False
CHEMBL2315700,21,7,5.704549287886847,8,60,False
CHEMBL4531006,21,7,5.655270277659098,11,60,False
CHEMBL241609,21,7,5.4425042218102355,36,60,False
CHEMBL485475,21,7,5.580414102951686,22,60,False
CHEMBL520144,21,7,5.642331473225639,17,60,False
CHEMBL491174,21,7,5.606224173347786,20,60,False
CHEMBL243664,21,7,5.691038519741863,10,60,False
CHEMBL4539558,21,7,5.617154518763225,19,60,False
CHEMBL490960,21,7,5.475038312983892,33,60,False
CHEMBL483428,21,7,5.485599997447798,32,60,False
CHEMBL489139,21,7,5.325046837901829,44,60,False
CHEMBL483525,21,7,5.64576491974649,14,60,False
